image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
5827.pgm,256x256,986,5.2844,TRUE,inf,0.006029874,-0.000141802,7.997508969,225.3125,87.17956543,1.083864698
5828.pgm,256x256,9239,4.8208,TRUE,inf,0.00599742,0.000195333,7.996933016,278.1875,87.50610352,1.95103664
5829.pgm,256x256,3695,2.0999,TRUE,inf,0.003989359,0.004543855,7.997267406,248.7109375,96.46453857,16.92608403
583.pgm,256x256,5261,2.2712,TRUE,inf,0.010116576,0.008629302,7.997027893,270.28125,95.19500732,16.72013825
5830.pgm,256x256,2114,2.7769,TRUE,inf,0.004201258,0.003674707,7.99729357,245.921875,96.86126709,8.656903435
5831.pgm,256x256,8537,2.5486,TRUE,inf,9.24E-05,0.005369634,7.997420053,235.828125,92.8024292,15.61397179
5832.pgm,256x256,7558,3.1887,TRUE,inf,0.003284303,-4.64E-05,7.997202002,252.953125,92.73223877,7.932894838
5833.pgm,256x256,1872,4.3821,TRUE,inf,0.005947401,0.003767328,7.997533871,223.7109375,92.42095947,2.178015615
5834.pgm,256x256,8252,4.0518,TRUE,inf,0.005212414,-0.001785035,7.997208813,254.2421875,90.94085693,3.961157705
5835.pgm,256x256,7348,1.6355,TRUE,inf,0.007390801,0.002990553,7.996755679,294.84375,94.0536499,31.79785037
5836.pgm,256x256,7192,2.4211,TRUE,inf,0.005932286,-0.001105706,7.996839861,288,93.86901855,15.90240479
5837.pgm,256x256,6908,3.1763,TRUE,inf,0.003137504,0.003117341,7.997122608,261.6328125,93.37158203,8.097761566
5838.pgm,256x256,5923,3.9207,TRUE,inf,0.008044711,0.000978323,7.997182116,255.609375,92.53234863,4.097272088
5839.pgm,256x256,3413,2.8223,TRUE,inf,0.001745038,-0.001400091,7.997236838,251.4375,96.01745605,8.517809101
584.pgm,256x256,14636,5.1614,TRUE,inf,0.006354731,0.008310646,7.997106904,263.1796875,83.98132324,1.774657006
