Image,mean_zero_planes
1337.pgm,5.6787109375
1338.pgm,4.2225341796875
1339.pgm,4.8697509765625
134.pgm,5.14459228515625
1340.pgm,5.63775634765625
1341.pgm,4.75531005859375
1342.pgm,4.65399169921875
1343.pgm,5.89892578125
1344.pgm,5.0567626953125
1345.pgm,5.60955810546875
1346.pgm,4.13726806640625
1347.pgm,4.815185546875
1348.pgm,6.439208984375
1349.pgm,5.90673828125
135.pgm,4.789794921875
1350.pgm,5.54534912109375
1351.pgm,3.97442626953125
1352.pgm,5.436767578125
1353.pgm,4.546875
1354.pgm,4.848388671875
1355.pgm,4.71905517578125
1356.pgm,5.45172119140625
1357.pgm,4.37615966796875
1358.pgm,5.2606201171875
1359.pgm,4.90667724609375
136.pgm,3.5023193359375
1360.pgm,2.8367919921875
1361.pgm,5.13323974609375
1362.pgm,5.24102783203125
1363.pgm,3.593017578125
1364.pgm,5.93719482421875
1365.pgm,5.25634765625
1366.pgm,4.74139404296875
1367.pgm,3.6806640625
1368.pgm,3.6602783203125
1369.pgm,5.499755859375
137.pgm,4.22747802734375
1370.pgm,4.90936279296875
1371.pgm,4.32330322265625
1372.pgm,4.43634033203125
1373.pgm,3.53228759765625
1374.pgm,3.48419189453125
1375.pgm,5.16595458984375
1376.pgm,6.09625244140625
1377.pgm,1.79351806640625
1378.pgm,5.01214599609375
1379.pgm,4.517333984375
138.pgm,5.28741455078125
1380.pgm,5.3380126953125
1381.pgm,4.59375
1382.pgm,4.45977783203125
1383.pgm,4.19451904296875
1384.pgm,4.9512939453125
1385.pgm,4.10986328125
1386.pgm,5.08343505859375
1387.pgm,4.89111328125
1388.pgm,4.96600341796875
1389.pgm,4.12542724609375
139.pgm,4.56561279296875
1390.pgm,5.30731201171875
1391.pgm,6.03192138671875
1392.pgm,3.9205322265625
1393.pgm,4.62548828125
1394.pgm,5.0108642578125
1395.pgm,4.18389892578125
1396.pgm,4.05926513671875
1397.pgm,4.0633544921875
1398.pgm,4.34210205078125
1399.pgm,3.859619140625
14.pgm,5.22296142578125
140.pgm,5.52276611328125
1400.pgm,2.28790283203125
1401.pgm,4.6314697265625
1402.pgm,3.87945556640625
1403.pgm,4.97161865234375
1404.pgm,5.19549560546875
1405.pgm,4.11309814453125
1406.pgm,4.24249267578125
1407.pgm,4.75213623046875
1408.pgm,5.0562744140625
1409.pgm,4.92657470703125
141.pgm,5.958251953125
1410.pgm,4.3179931640625
1411.pgm,5.2393798828125
1412.pgm,4.46307373046875
1413.pgm,5.88177490234375
1414.pgm,4.39453125
1415.pgm,5.5228271484375
1416.pgm,4.01519775390625
1417.pgm,4.74420166015625
1418.pgm,4.916015625
1419.pgm,4.310791015625
142.pgm,4.435791015625
1420.pgm,4.53240966796875
1421.pgm,5.04400634765625
1422.pgm,4.72479248046875
1423.pgm,5.070068359375
1424.pgm,4.1033935546875
1425.pgm,4.63482666015625
1426.pgm,4.83221435546875
1427.pgm,3.24249267578125
1428.pgm,4.9588623046875
1429.pgm,5.40478515625
143.pgm,3.753662109375
1430.pgm,4.63665771484375
1431.pgm,5.05352783203125
1432.pgm,5.42547607421875
1433.pgm,5.0537109375
1434.pgm,5.35540771484375
1435.pgm,4.951171875
1436.pgm,5.785400390625
1437.pgm,4.9024658203125
1438.pgm,4.64715576171875
1439.pgm,5.0830078125
144.pgm,4.7947998046875
1440.pgm,5.32000732421875
1441.pgm,4.8873291015625
1442.pgm,4.864501953125
1443.pgm,5.0501708984375
1444.pgm,4.72509765625
1445.pgm,4.231689453125
1446.pgm,5.19342041015625
1447.pgm,4.93170166015625
1448.pgm,5.24188232421875
1449.pgm,5.7889404296875
145.pgm,3.34552001953125
1450.pgm,4.969482421875
1451.pgm,4.6768798828125
1452.pgm,3.64111328125
1453.pgm,4.34234619140625
1454.pgm,5.0572509765625
1455.pgm,4.0965576171875
1456.pgm,4.71417236328125
1457.pgm,4.91949462890625
1458.pgm,5.12152099609375
1459.pgm,5.04595947265625
146.pgm,5.28387451171875
1460.pgm,4.5120849609375
1461.pgm,4.78924560546875
1462.pgm,3.94439697265625
1463.pgm,4.98419189453125
1464.pgm,5.1199951171875
1465.pgm,6.14825439453125
1466.pgm,4.67626953125
1467.pgm,4.77587890625
1468.pgm,4.8946533203125
1469.pgm,4.0
147.pgm,5.0955810546875
1470.pgm,4.69012451171875
1471.pgm,4.97930908203125
1472.pgm,5.89971923828125
1473.pgm,5.4793701171875
1474.pgm,5.0662841796875
1475.pgm,4.4151611328125
1476.pgm,4.86956787109375
1477.pgm,4.7034912109375
1478.pgm,5.2806396484375
1479.pgm,5.1004638671875
148.pgm,5.17486572265625
1480.pgm,4.72320556640625
1481.pgm,5.06170654296875
1482.pgm,4.01611328125
1483.pgm,4.77496337890625
1484.pgm,5.03912353515625
1485.pgm,5.13037109375
1486.pgm,5.08154296875
1487.pgm,4.14312744140625
1488.pgm,5.35693359375
1489.pgm,4.1219482421875
149.pgm,2.98968505859375
1490.pgm,4.9266357421875
1491.pgm,5.1103515625
1492.pgm,4.58831787109375
