image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
6502.pgm,512x512,39254,4.1864,TRUE,inf,-0.001557606,0.001339916,7.999258357,269.7441406,89.83154297,3.787264356
6503.pgm,512x512,7658,5.3688,TRUE,inf,0.000727114,0.003067882,7.999348287,236.7832031,86.41853333,1.075182148
6504.pgm,512x512,40803,4.8951,TRUE,inf,-0.000252761,0.004783629,7.999350719,236.1152344,86.86180115,1.906937244
6505.pgm,512x512,38400,4.8397,TRUE,inf,-0.00015575,0.001975265,7.999307717,251.2539063,87.40882874,1.933013318
6506.pgm,512x512,51955,4.3185,TRUE,inf,0.001595946,0.003069787,7.9992497,272.8066406,87.5919342,3.659135407
6507.pgm,512x512,19968,3.7952,TRUE,inf,0.001466054,0.004982898,7.999253818,271.0605469,93.30177307,4.179430195
6508.pgm,512x512,43715,4.1903,TRUE,inf,0.001402773,0.002512531,7.999341195,239.2382813,89.012146,3.782243916
6509.pgm,512x512,5124,4.3946,TRUE,inf,-0.000305417,0.001596929,7.999256007,269.8046875,92.85354614,2.192827113
651.pgm,512x512,51994,5.7959,TRUE,inf,0.000592392,0.001699052,7.999305507,252.2734375,80.09643555,0.915448058
6510.pgm,512x512,47600,4.2261,TRUE,inf,0.001360906,0.001084061,7.999359616,233.0117188,88.3441925,3.690357582
6511.pgm,512x512,10612,4.4525,TRUE,inf,0.001853049,0.00311907,7.999340109,239.3300781,92.04483032,2.140161851
6512.pgm,512x512,25828,4.6584,TRUE,inf,-0.001650086,0.003713089,7.999215438,285.5117188,89.37301636,2.009914623
6513.pgm,512x512,36700,4.7756,TRUE,inf,0.000200827,0.001156956,7.999224874,281.8945313,87.66288757,1.923618691
6514.pgm,512x512,39616,4.8819,TRUE,inf,0.00135546,0.001309243,7.999266491,266.8457031,87.1257782,1.925671147
6515.pgm,512x512,61896,5.1905,TRUE,inf,0.001525776,0.005340234,7.99940855,214.8320313,83.4312439,1.757692823
6516.pgm,512x512,64076,5.198,TRUE,inf,-0.001425232,0.004592374,7.999447698,200.8085938,83.12644958,1.730626424
6517.pgm,512x512,8208,4.4532,TRUE,inf,0.000198541,0.001698265,7.999235458,277.5820313,92.32673645,2.159233841
6518.pgm,512x512,22872,4.6733,TRUE,inf,0.00106797,0.005569345,7.999286536,258.7871094,89.84451294,2.044706158
6519.pgm,512x512,17916,4.5853,TRUE,inf,0.00034145,0.00347055,7.999195402,291.5976563,90.80963135,2.082446229
652.pgm,512x512,37672,4.0417,TRUE,inf,-0.000219082,0.003235992,7.999298158,254.9707031,90.07568359,3.871983547
6520.pgm,512x512,29512,4.6778,TRUE,inf,-0.001838703,0.003250638,7.999247143,273.8164063,88.90838623,1.991834454
6521.pgm,512x512,32224,4.7377,TRUE,inf,-0.000893631,0.003053881,7.999318808,247.4648438,88.36669922,1.964075425
6522.pgm,512x512,17388,4.5193,TRUE,inf,-0.000106601,0.002796886,7.999411033,214.1523438,90.89622498,2.08263472
6523.pgm,512x512,16471,4.5084,TRUE,inf,-0.000671741,0.005003212,7.999436245,204.8789063,90.94009399,2.085659551
6524.pgm,512x512,36411,4.767,TRUE,inf,0.002412123,0.00287802,7.999250123,272.421875,87.66517639,1.929792516
6525.pgm,512x512,52768,5.008,TRUE,inf,-0.000506018,0.001938428,7.999331408,243.0800781,84.87892151,1.804863425
6526.pgm,512x512,45672,4.9203,TRUE,inf,-0.000654695,0.002122502,7.999374282,226.9882813,86.04660034,1.862124275
6527.pgm,512x512,53524,5.0219,TRUE,inf,5.60E-06,0.00190947,7.99926064,267.6210938,84.79576111,1.802810968
