image_name,image_size,I_corr_h,I_corr_v,I_se,I_chi2,If_corr_h,If_corr_v,If_se,If_chi2,Im_corr_h,Im_corr_v,Im_se,Im_chi2,npcr_If_I,uaci_If_I,mae_If_I,npcr_Im_I,uaci_Im_I,mae_Im_I,npcr_Im_If,uaci_Im_If,mae_Im_If,embedded_bits,capacity_bpp,extraction_success,psnr_recovery
4456.pgm,256x256,0.9525,0.937737,7.311056,65361.56,0.006447,0.003141,7.997462,229.92,0.006429,0.003115,7.997441,231.67,99.6017,29.3065,74.7316,99.6078,29.3064,74.7314,5.4382,0.0213,0.0544,7202,3.0613,True,inf
4457.pgm,256x256,0.959377,0.954434,7.000488,176849.26,0.0047,-0.000213,7.996719,298.34,0.004708,-0.000235,7.996863,285.43,99.6185,32.0977,81.8492,99.6216,32.098,81.85,5.3284,0.0209,0.0533,7004,3.9102,True,inf
4458.pgm,256x256,0.921876,0.884581,6.699978,130558.84,0.00574,0.001136,7.99683,286.19,0.005749,0.001108,7.997116,260.92,99.6124,27.3494,69.741,99.614,27.3493,69.7406,4.1672,0.0163,0.0417,5318,3.719,True,inf
4459.pgm,256x256,0.983495,0.974683,7.20579,98498.63,0.004331,-0.001663,7.997372,238.0,0.004342,-0.001676,7.997414,234.06,99.6048,33.1815,84.6129,99.6017,33.1811,84.6118,1.178,0.0046,0.0118,1532,4.375,True,inf
446.pgm,256x256,0.968999,0.955061,7.208213,95950.38,0.006973,0.003735,7.997064,266.04,0.006966,0.003733,7.997021,270.22,99.5865,33.2824,84.8702,99.5834,33.2823,84.87,1.5823,0.0062,0.0158,2050,2.8025,True,inf
4460.pgm,256x256,0.971859,0.955709,7.192647,94018.82,0.00296,0.003814,7.997689,209.24,0.002977,0.003821,7.99768,210.02,99.6384,35.3924,90.2506,99.6368,35.3921,90.25,1.5671,0.0061,0.0157,2076,3.5513,True,inf
4461.pgm,256x256,0.948011,0.885432,6.891461,189404.16,0.008239,0.000288,7.99723,251.8,0.00824,0.000284,7.997193,255.08,99.649,29.0984,74.201,99.6506,29.0986,74.2014,0.5875,0.0023,0.0059,732,3.4631,True,inf
4462.pgm,256x256,0.982824,0.970108,7.195478,69960.73,0.00379,0.006786,7.996971,274.41,0.003782,0.006778,7.99695,275.83,99.617,30.5468,77.8943,99.6155,30.5477,77.8967,7.2357,0.0284,0.0724,9584,3.9802,True,inf
4463.pgm,256x256,0.960943,0.952209,7.128526,144727.56,0.004937,-0.003297,7.997717,207.46,0.004925,-0.003321,7.997507,226.8,99.6078,32.4476,82.7414,99.6078,32.4475,82.741,4.8157,0.0189,0.0482,6451,3.9043,True,inf
4464.pgm,256x256,0.995996,0.995651,7.371419,49630.46,0.005653,0.001774,7.996996,272.38,0.005652,0.001783,7.997231,252.1,99.6017,28.5617,72.8323,99.6002,28.562,72.833,6.868,0.0269,0.0687,8880,5.5959,True,inf
4465.pgm,256x256,0.83871,0.856254,7.807748,12651.81,-0.004019,0.004547,7.996656,306.55,-0.00403,0.004539,7.996824,291.1,99.6155,31.0811,79.2567,99.6231,31.0815,79.2579,3.4149,0.0134,0.0341,4423,0.6074,True,inf
4466.pgm,256x256,0.971586,0.963687,6.587834,179806.12,0.003271,0.004372,7.997199,254.13,0.003282,0.00437,7.997113,261.53,99.5987,30.2907,77.2412,99.6017,30.2905,77.2407,3.0777,0.0121,0.0308,3987,4.6199,True,inf
4467.pgm,256x256,0.954069,0.934737,7.202151,68184.18,-0.001358,0.003647,7.997122,261.45,-0.001348,0.003635,7.997206,253.09,99.6338,29.8288,76.0635,99.6368,29.8289,76.0636,5.751,0.0226,0.0575,7416,3.0627,True,inf
4468.pgm,256x256,0.977139,0.96791,7.374367,63478.48,0.007502,0.000898,7.997574,219.81,0.007515,0.000907,7.99766,212.13,99.585,31.348,79.9373,99.5895,31.3481,79.9378,3.3508,0.0131,0.0335,4343,2.8123,True,inf
4469.pgm,256x256,0.933779,0.914713,6.917552,120716.73,0.007568,-0.000685,7.997332,241.22,0.007575,-0.000697,7.997356,238.97,99.6323,28.1202,71.7064,99.6292,28.1201,71.7063,2.0432,0.008,0.0204,2585,3.5378,True,inf
447.pgm,256x256,0.959301,0.963046,7.185491,76569.16,0.001075,0.0031,7.997236,250.44,0.001087,0.003112,7.997321,242.7,99.5926,30.2669,77.1806,99.5987,30.2666,77.1798,0.9674,0.0038,0.0097,1226,2.6062,True,inf
4470.pgm,256x256,0.957303,0.941048,6.758613,157900.16,0.002229,0.000793,7.996989,273.37,0.002237,0.000772,7.997168,257.66,99.5972,29.6938,75.7191,99.6078,29.6934,75.7181,3.6484,0.0143,0.0365,4799,4.6196,True,inf
4471.pgm,256x256,0.990983,0.988827,7.510314,46432.34,0.008575,-0.002143,7.997497,226.96,0.00856,-0.002162,7.997451,231.03,99.6445,32.6788,83.3309,99.6628,32.6783,83.3296,5.4153,0.0212,0.0542,7179,4.6663,True,inf
4472.pgm,256x256,0.990951,0.984684,7.172937,172317.2,0.000349,0.002809,7.997127,260.82,0.000315,0.002826,7.997364,238.95,99.5926,34.835,88.8293,99.5911,34.8345,88.8279,8.3328,0.0327,0.0833,10810,4.1194,True,inf
4473.pgm,256x256,0.979216,0.969105,7.318713,73704.67,0.001351,0.002112,7.996981,275.28,0.001346,0.002094,7.997255,249.77,99.588,33.4695,85.3472,99.5926,33.4698,85.3481,6.8985,0.0271,0.069,9068,4.0098,True,inf
4474.pgm,256x256,0.993082,0.992074,6.418148,210066.38,0.005282,0.000347,7.997229,251.09,0.005287,0.000349,7.997434,232.73,99.5621,33.4158,85.2103,99.5468,33.416,85.2108,9.8969,0.0388,0.099,13029,5.8254,True,inf
